,No,SR,Township,Tested,PUI,M,F,Child,Adult,Confirmed,Death,Recovered,Latitude,Longitude,FID
0,3,Yangon Region,Insein Township,,,9,7,1,15,16,0,0,16.901771,96.095959,3
1,7,Yangon Region,Bahan Township,,,4,7,0,11,11,0,0,16.815427,96.156112,7
2,12,Yangon Region,South Okkalapa Township,,,3,5,0,8,8,0,0,16.846249,96.179859,12
3,13,Yangon Region,Mayangone Township,,,4,3,0,7,7,0,0,16.86619,96.142611,13
4,20,Yangon Region,Pabedan Township,,,2,3,0,5,5,1,0,16.776983,96.15601,20
5,11,Bago Region,Paukkhaung Township,,,2,2,2,2,4,1,0,18.9028,95.54819,11
6,1,Chin State,Tedim Township,2803.0,1394.0,1,2,0,3,3,0,0,23.37058,93.65619,1
7,19,Yangon Region,Shwepyithar Township,,,1,2,0,3,3,0,0,16.95504,96.08329,19
8,5,Yangon Region,Mingalartaungnyunt Township,,,2,0,0,2,2,1,0,16.788908,96.16785899999999,5
9,14,Yangon Region,Hlaingtharya Township,,,1,1,0,2,2,0,0,16.85402,96.06893,14
10,2,Yangon Region,Botahtaung Township,,,1,0,0,1,1,0,0,16.771967,96.169709,2
11,4,Mandalay Region,Chanmyathazi Township,,,1,0,0,1,1,0,1,21.939404,96.095838,4
12,6,Naypyitaw,Za Bu Thi Ri Township,,,0,1,0,1,1,0,1,19.76867364,96.07260872,6
13,8,Yangon Region,Mingaladon Township,,,1,0,0,1,1,0,0,16.94914,96.12795,8
14,9,Shan (North) State,Kyaukme Township,,,1,0,0,1,1,0,0,22.54172,97.03671,9
15,10,Yangon Region,North Okkalapa Township,,,0,1,0,1,1,1,0,16.918775,96.163028,10
16,15,Mon State,Kyaikmaraw Township,,,0,1,0,1,1,0,0,16.37045,97.72411,15
17,16,Shan (South) State,Taunggyi Township,,,1,0,0,1,1,0,0,20.77477,97.03598,16
18,17,Bago Region,Pyay Township,,,0,1,0,1,1,0,0,18.82151,95.22103,17
19,18,Yangon Region,Hlegu Township,,,1,0,0,1,1,0,0,17.09875,96.22745,18
20,21,Mangway Region,Myothit Township,,,1,0,0,1,1,0,0,20.19919,95.44692,21
21,22,Shan (East) State,Monghpyak Township,,,1,0,0,1,1,0,0,20.87804,99.92333,22
22,23,Sagaing Region,Kale Township,,,0,1,0,1,1,0,0,23.1933,94.02977,23
